attendance,is_holiday,is_school_holiday,is_weekend,attendance_lag1,attendance_ma7
30812,0,1,1,28897.0,25554.0
21582,0,1,0,30812.0,25583.285714285714
23854,0,1,0,21582.0,25582.285714285714
23009,0,1,0,23854.0,25498.14285714286
24221,0,1,0,23009.0,25524.285714285714
26532,0,1,0,24221.0,25558.14285714286
24084,0,1,1,26532.0,24870.571428571428
24505,0,1,1,24084.0,23969.571428571428
20312,0,1,0,24505.0,23788.14285714286
25125,0,1,0,20312.0,23969.714285714286
25212,0,1,0,25125.0,24284.428571428572
25531,0,1,0,25212.0,24471.571428571428
21068,0,1,0,25531.0,23691.0
25441,0,1,1,21068.0,23884.85714285714
25367,0,1,1,25441.0,24008.0
22110,0,1,0,25367.0,24264.85714285714
22422,0,1,0,22110.0,23878.714285714286
21185,0,1,0,22422.0,23303.428571428572
17743,0,1,0,21185.0,22190.85714285714
21942,0,1,0,17743.0,22315.714285714286
22341,0,1,1,21942.0,21872.85714285714
27256,0,1,1,22341.0,22142.714285714286
23190,0,1,0,27256.0,22297.0
24572,0,1,0,23190.0,22604.14285714286
25835,0,1,0,24572.0,23268.428571428572
24746,0,1,0,25835.0,24268.85714285714
21951,0,1,0,24746.0,24270.14285714286
24499,0,1,1,21951.0,24578.428571428572
25071,0,1,1,24499.0,24266.285714285714
24633,0,1,0,25071.0,24472.428571428572
25705,0,1,0,24633.0,24634.285714285714
28196,0,1,0,25705.0,24971.571428571428
31266,0,1,0,28196.0,25903.0
21809,0,1,0,31266.0,25882.714285714286
27550,0,1,1,21809.0,26318.571428571428
26665,0,1,1,27550.0,26546.285714285714
24487,0,0,0,26665.0,26525.428571428572
34945,0,0,0,24487.0,27845.428571428572
28300,0,0,0,34945.0,27860.285714285714
25372,0,0,0,28300.0,27018.285714285714
28228,0,0,0,25372.0,27935.285714285714
23446,0,0,1,28228.0,27349.0
22605,0,0,1,23446.0,26769.0
27398,0,0,0,22605.0,27184.85714285714
30348,0,0,0,27398.0,26528.14285714286
29720,0,0,0,30348.0,26731.0
30193,0,0,0,29720.0,27419.714285714286
26513,0,0,0,30193.0,27174.714285714286
29930,0,0,1,26513.0,28101.0
28826,0,0,1,29930.0,28989.714285714286
24431,0,0,0,28826.0,28565.85714285714
25830,0,0,0,24431.0,27920.428571428572
25904,0,0,0,25830.0,27375.285714285714
27226,0,0,0,25904.0,26951.428571428572
23993,0,0,0,27226.0,26591.428571428572
29712,0,0,1,23993.0,26560.285714285714
30238,0,0,1,29712.0,26762.0
14956,0,0,0,30238.0,25408.428571428572
17467,0,0,0,14956.0,24213.714285714286
18189,0,0,0,17467.0,23111.571428571428
18157,0,0,0,18189.0,21816.0
17416,0,0,0,18157.0,20876.428571428572
25478,0,0,1,17416.0,20271.571428571428
24836,0,0,1,25478.0,19499.85714285714
13568,0,0,0,24836.0,19301.571428571428
14742,0,0,0,13568.0,18912.285714285714
15335,0,0,0,14742.0,18504.571428571428
15611,0,0,0,15335.0,18140.85714285714
16061,0,0,0,15611.0,17947.285714285714
32245,0,0,1,16061.0,18914.0
27907,0,0,1,32245.0,19352.714285714286
13777,0,0,0,27907.0,19382.571428571428
14516,0,0,0,13777.0,19350.285714285714
14593,0,0,0,14516.0,19244.285714285714
14105,0,0,0,14593.0,19029.14285714286
13497,0,0,0,14105.0,18662.85714285714
29791,0,0,1,13497.0,18312.285714285714
22055,0,0,1,29791.0,17476.285714285714
13146,0,0,0,22055.0,17386.14285714286
12018,0,0,0,13146.0,17029.285714285714
12133,0,0,0,12018.0,16677.85714285714
12541,0,0,0,12133.0,16454.428571428572
21367,0,0,0,12541.0,17578.714285714286
30136,0,0,1,21367.0,17628.0
22592,0,0,1,30136.0,17704.714285714286
11897,0,0,0,22592.0,17526.285714285714
9021,0,0,0,11897.0,17098.14285714286
10379,0,0,0,9021.0,16847.571428571428
12543,0,0,0,10379.0,16847.85714285714
14517,0,0,0,12543.0,15869.285714285714
22172,0,0,1,14517.0,14731.57142857143
21644,0,0,1,22172.0,14596.142857142857
13983,0,0,0,21644.0,14894.142857142857
12551,0,0,0,13983.0,15398.42857142857
12447,0,0,0,12551.0,15693.857142857143
15367,0,0,0,12447.0,16097.285714285714
15089,0,0,0,15367.0,16179.0
25437,0,1,1,15089.0,16645.428571428572
26996,0,1,1,25437.0,17410.0
14078,0,1,0,26996.0,17423.571428571428
16999,0,1,0,14078.0,18059.0
16064,0,1,0,16999.0,18575.714285714286
16653,0,1,0,16064.0,18759.428571428572
15673,0,1,0,16653.0,18842.85714285714
21027,0,1,1,15673.0,18212.85714285714
23318,0,1,1,21027.0,17687.428571428572
21499,0,0,0,23318.0,18747.571428571428
26172,0,0,0,21499.0,20058.0
27092,0,0,0,26172.0,21633.428571428572
24677,0,0,0,27092.0,22779.714285714286
21178,0,0,0,24677.0,23566.14285714286
26545,0,0,1,21178.0,24354.428571428572
21755,0,0,1,26545.0,24131.14285714286
23181,0,0,0,21755.0,24371.428571428572
24814,0,0,0,23181.0,24177.428571428572
24406,0,0,0,24814.0,23793.714285714286
23305,0,0,0,24406.0,23597.714285714286
24528,0,0,0,23305.0,24076.285714285714
28551,0,0,1,24528.0,24362.85714285714
23198,0,0,1,28551.0,24569.0
12344,0,0,0,23198.0,23020.85714285714
7817,0,0,0,12344.0,20592.714285714286
9466,0,0,0,7817.0,18458.428571428572
9256,0,0,0,9466.0,16451.428571428572
10890,0,0,0,9256.0,14503.142857142857
22275,0,0,1,10890.0,13606.57142857143
33352,0,0,1,22275.0,15057.142857142857
20394,0,0,0,33352.0,16207.142857142857
13364,0,0,0,20394.0,16999.571428571428
11515,0,0,0,13364.0,17292.285714285714
11693,0,0,0,11515.0,17640.428571428572
13316,0,0,0,11693.0,17987.0
25706,0,0,1,13316.0,18477.14285714286
27243,0,0,1,25706.0,17604.428571428572
13918,0,0,0,27243.0,16679.285714285714
14544,0,0,0,13918.0,16847.85714285714
13739,0,0,0,14544.0,17165.571428571428
14252,0,0,0,13739.0,17531.14285714286
33714,0,0,0,14252.0,20445.14285714286
26093,0,0,1,33714.0,20500.428571428572
27467,0,0,1,26093.0,20532.428571428572
14891,0,0,0,27467.0,20671.428571428572
12971,0,0,0,14891.0,20446.714285714286
